stop_id,stop_name,stop_lat,stop_lon,location_type
5872,50811 - ANILLAR SOKAK,41.2603,36.3628,0
5916,11542 - BURCU,41.279322,36.31929,0
5952,65051 - ÇINARLIK MEZARLIK,41.2427,36.5566,0
5994,30091 - ARTI BAKIŞ REHABİLİTASYON,41.3189,36.3079,0
6004,10442 - GAZİ CADDESİ ITRİ DURAĞI,41.2858815911212,36.336081764483,0
6041,32431 - ERGENEKON SİTESİ,41.335668,36.246696,0
6061,33421 - ALANLI İLKOKULU,41.330797,36.215147,0
6102,33362 - İHLAS EVLER,41.337232,36.234366,0
6264,60962 - TEKKEKÖY STADYUM,41.224004,36.451983,0
6286,13621 - KOŞUYOLU,41.272899,36.348242,0
6298,13632 - İSTASYON KÖYÜ,41.253846,36.299469,0
6343,70042 - BUZAĞI CAN SÜTÜ,41.460163,36.112453,0
6367,32812 - SAMSUN CADDESİ 3,41.348069,36.2312,0
8033,31191 - AKÇA KALE SOKAK 1,41.310864,36.289219,0
10062,65642 - Yeşilırmak Mahallesi 1,41.205408,36.706089,0
10097,78122 - Elmaköy,41.218936,36.897066,0
906,Atakent,41.34360002916631,36.24499417039851,0
4710,60172 - CUMHURİYET MAHALLESİ,41.224204,36.443213,0
4726,50142 - KUZEY YILDIZI TOKİ 1,41.2649798585315,36.3456525062402,0
4790,30101 - SAMULAŞ GENEL MÜDÜRLÜĞÜ,41.320524,36.309323,0
4884,10071 - KARADENİZ BİRLİK,41.3005,36.3316,0
4938,12901 - TEPECİK,41.268472,36.300866,0
4944,12732 - DURUŞEHİR DURAĞI,41.2693278770165,36.3310595041049,0
4954,11651 - KIRAN MAHALLESİ,41.283186051294,36.3074541361649,0
5041,30711 - USLUKENT,41.4033172542055,36.1868781868222,0
5057,30742 - KARAKAVUK,41.4082,36.178,0
5160,50172 - YEŞİL HİSAR SOKAK,41.259003,36.339988,0
5220,32342 - ÖZEL SAMSUN SINAV KOLEJİ,41.318174,36.251671,0
5254,32421 - ÇAĞDAŞ KENT SİTESİ,41.336672,36.243759,0
5265,11312 - HALK EĞİTİM MERKEZİ,41.276665,36.321081,0
5278,12022 - HACI OSMAN CAMİ,41.288723,36.312779,0
5333,10131 - KENAN ŞARA KÖPRÜSÜ,41.3208521719081,36.3215121078992,0
5354,30761 - POLİS OKULU,41.4147,36.1737,0
5370,12512 - BARUTHANE OKULU,41.312335,36.313195,0
5391,32422 - ÇAĞDAŞ KENT SİTESİ,41.336758,36.244095,0
5400,32102 - BEYPINAR CAMİ,41.308971,36.270634,0
5436,31042 - ALAÇAM CADDESİ 1,41.314145,36.286297,0
5521,33342 - ALİ GAFFAR OKKAN CADDESİ 1,41.338436,36.236863,0
5524,33431 - ALANLI 1,41.330228,36.212177,0
5568,33022 - LALE,41.351116,36.206093,0
5587,10302 - 30 AĞUSTOS İÖO,41.2977983345008,36.3291775509386,0
5682,50542 - HASKÖY MEYDAN,41.253596,36.361766,0
5693,10521 - YILDIRIM BEYAZIT CAMİ,41.2735478727522,36.3342840276193,0
5708,60091 - SAKLI BAHÇE,41.2353,36.4136,0
5797,33261 - AZİZ IŞIK BULVARI 2,41.3544,36.1912,0
5843,60671 - ŞEYH YUSUF ZEYMUHİDDİN CADDESİ,41.209872,36.463922,0
5873,50821 - ARMAĞAN SOKAK,41.258295,36.361783,0
5953,65061 - ÇINARLIK CAMİ,41.2427,36.5591,0
6005,10452 - SİTE CAMİ,41.2876641995379,36.334413218578,0
6017,30011 - GÜLİZAR HASAN YILMAZ SPOR LİSESİ,41.304079,36.282417,0
6050,32302 - KORUPARK SİTESİ 1,41.323947,36.252559,0
6105,32831 - 3195.SOKAK,41.349697,36.230861,0
6141,32981 - TOPLU KONUT BULVARI 3,41.355499,36.211254,0
6284,13611 - DEREBAHÇE MAHALLESİ,41.271452,36.345891,0
6305,13642 - ATAKÖY İSTASYON,41.252078,36.299285,0
6341,70032 - SİNOP YOLU,41.456189,36.121371,0
6383,50082 - CANİK KAYMAKAMLIĞI,41.272574,36.350215,0
8039,12903 - HİZMET BİNASI,41.4449,36.4952,0
10061,65632 - Otogar,41.205833,36.699922,0
10095,78112 - Ortaöğütlü 1,41.219412,36.892243,0
907,Çobanlı,41.339038531227075,36.2512893113663,0
4711,60162 - KİRAZLIK 4,41.2248,36.438,0
4727,50152 - KUZEY YILDIZI TOKİ,41.2648508022658,36.3437549224891,0
4750,31052 - TWİN TOWERS,41.313565,36.282743,0
4834,30562 - GÜLHAN,41.368327,36.228623,0
4867,12042 - ANADOLU MAHALLESİ,41.2874,36.3102,0
4948,12742 - GÜLAÇTI,41.2681434158993,36.3297663449938,0
4950,12912 - RUH VE SİNİR HASTANESİ,41.2698369983918,36.2974527676584,0
5027,30542 - KÖRFEZ,41.364922,36.230152,0
5042,30721 - IŞIKKENT,41.4051,36.1836,0
5058,30732 - ÇAKIRLAR KÖPRÜSÜ,41.4066,36.1804,0
5093,10511 - AKDENİZ CADDESİ,41.2713,36.3334,0
5161,50181 - DÜVECİK MAHALLESİ KAVŞAĞI,41.256821,36.335453,0
5172,32362 - ÇOBANÖZÜ 2,41.314129,36.252315,0
5214,32162 - OKULLAR BÖLGESİ,41.308649,36.274916,0
5262,10202 - HALK SAĞLIĞI MÜDÜRLÜĞÜ,41.2777632749539,36.3390427190018,0
5309,10122 - BARUTHANE,41.3195862002141,36.3277364935142,0
5334,10111 - SAMSUN MÜZESİ,41.3089,36.3346,0
5360,30851 - TAFLAN UN FABRİKASI,41.4338,36.1465,0
5394,33332 - ALİ GAFFAR OKKAN CADDESİ,41.339155,36.238195,0
5501,31502 - ÇAĞDAŞ KENT,41.3384,36.2467,0
5562,32861 - BARIŞ CADDESİ 2,41.351345,36.228614,0
5578,32991 - TOPLU KONUT BULVARI 2,41.3553,36.2085,0
5620,12891 - YALÇINKAYA EVLERİ,41.268502,36.303555,0
5683,50552 - MAVİ YEŞİL KONUTLARI,41.253636,36.359889,0
5709,60101 - KİRAZLIK 1,41.232078,36.41847,0
5801,33271 - BÜYÜKOYUMCA 1,41.353551580244,36.1884843231822,0
5809,33012 - MENEKŞE,41.3515153825214,36.2072482874337,0
5838,60691 - LÜTFİYE DR. KENAN YILMAZ ORTAOKULU,41.2090003317109,36.4665980544236,0
5874,50831 - HASKÖY CUMHURİYET İLKOKULU,41.2571,36.3617,0
5917,11302 - İLYASKÖY TÜRK-İŞ İÖO,41.2749859571851,36.3189986316668,0
5930,10882 - 644.SOKAK,41.251293,36.300761,0
5954,65071 - ÇINARLIK 4,41.2445,36.5591,0
5995,10161 - GÜZEL SANATLAR,41.3220729920549,36.3132906718617,0
6006,11422 - VERGİ DENETLEME KURULU,41.2898139736913,36.3352130748462,0
6011,30021 - BÜYÜKŞEHİR BELEDİYESİ HUZUREVİ,41.305826,36.280127,0
6023,32432 - ERGENEKON SİTESİ,41.33562,36.246365,0
